2.189,0.97692,791.2,0.0701,520866.9305
2.209,0.93464,727.7,0.0667,479068.1899
2.229,0.89319,668.04,0.0633,439786.8812
2.249,0.85188,608.32,0.06,400475.4722
2.269,0.81022,549.31,0.0566,361627.7575
2.289,0.76822,490.73,0.0532,323059.5887
2.309,0.726,432.7,0.0498,284856.7069
2.329,0.68382,376.44,0.0464,247824.1324
2.349,0.64192,321.5,0.043,211652.6365
2.369,0.60042,268.29,0.0397,176623.4338
2.389,0.55919,216.43,0.0364,142480.9992
2.409,0.51784,164.09,0.033,108023.338
2.429,0.47611,111.23,0.0297,73227.7632
2.449,0.43406,58.627,0.0263,38596.0676
2.469,0.39213,6.1806,0.0229,4068.8394
2.489,0.35037,-44.316,0.0195,-29174.2589
2.509,0.3089,-93.813,0.0162,-61759.5613
2.529,0.26789,-142.9,0.0128,-94076.5217
2.549,0.22657,-192.32,0.0095,-126610.294
2.569,0.18456,-243.79,0.0061,-160494.8938
2.589,0.14232,-294.15,0.0027,-193650.0371
2.609,0.10034,-343.25,-0.0007,-225971.0729
2.629,0.058525,-391.83,-0.0041,-257952.4219
2.649,0.016869,-439.13,-0.0074,-289093.0474
2.658,-0.0017401,-459.83,-0.0089,-302721.0534
2.659,-0.0037988,-462.14,-0.0091,-304239.3923
2.679,-0.043371,-492.6,-0.0123,-324294.5373
2.699,-0.060908,-439.11,-0.0137,-289080.1132
2.719,-0.04351,-329.39,-0.0123,-216845.1995
2.739,-0.012196,-214.69,-0.0098,-141338.7209
2.759,0.02866,-95.484,-0.0065,-62859.6619
2.779,0.076193,15.615,-0.0026,10280.0885
2.799,0.12325,108.92,0.0012,71706.3248
2.819,0.1675,188.11,0.0047,123834.9453
2.839,0.21036,259.02,0.0082,170518.6218
2.859,0.25266,326.56,0.0116,214986.3392
2.879,0.2944,389.81,0.015,256624.2218
2.899,0.33592,450.37,0.0183,296492.7256
2.919,0.37778,511.2,0.0217,336539.1493
2.939,0.42016,569.1,0.0251,374656.6176
2.959,0.4624,625.89,0.0285,412042.886
2.979,0.50445,680.27,0.0319,447843.492
2.999,0.54612,731.17,0.0353,481347.6205
3.019,0.58731,780.92,0.0386,514103.7703
3.039,0.62855,830.83,0.042,546959.1618
3.059,0.67029,880.62,0.0453,579734.8022
3.079,0.71227,929.96,0.0487,612220.5853
3.099,0.75415,977.2,0.0521,643319.8452
3.119,0.79607,1024.2,0.0555,674286.4251
3.139,0.83783,1069.8,0.0589,704277.3962
3.159,0.87904,1112.8,0.0622,732568.8601
3.179,0.92023,1156.9,0.0655,761619.3891
3.199,0.96182,1200.9,0.0689,790581.6436
3.219,1.0037,1244.5,0.0722,819294.2739
3.239,1.0457,1288.5,0.0756,848236.4416
3.259,1.0879,1331.4,0.079,876513.7792
3.279,1.1299,1372.4,0.0824,903513.8488
3.299,1.1712,1411.4,0.0858,929194.8676
3.319,1.212,1450.3,0.0891,954749.8226
3.327,1.2284,1466.2,0.0904,965255.7373
3.328,1.2305,1468.2,0.0905,966574.4901
3.348,1.2709,1494.2,0.0938,983680.4867
3.368,1.2897,1450.7,0.0953,955025.0769
3.388,1.2723,1359.5,0.0939,894989.9077
3.408,1.2397,1259.1,0.0913,828871.6078
3.428,1.1982,1155.8,0.0879,760881.424
3.448,1.1514,1060.9,0.0842,698447.6447
3.468,1.1057,977.69,0.0805,643637.4784
3.488,1.0621,904.1,0.077,595196.2471
3.508,1.0191,835.33,0.0735,549921.2742
3.528,0.9763,767.87,0.07,505512.1779
3.548,0.93403,705.66,0.0666,464553.8032
3.568,0.89257,645.66,0.0633,425055.5038
3.588,0.85126,586.79,0.0599,386299.4909
3.608,0.8096,528.29,0.0566,347790.5095
3.628,0.76758,469.1,0.0532,308821.7676
3.648,0.72537,411.99,0.0498,271224.4987
3.668,0.68321,356.65,0.0464,234791.1447
3.688,0.64132,301.88,0.043,198739.171
3.708,0.59977,249.65,0.0396,164349.8689
3.728,0.55854,197.73,0.0363,130168.3784
3.748,0.51722,145.42,0.033,95734.5217
3.768,0.47549,93.407,0.0296,61492.5921
3.788,0.43344,40.995,0.0262,26988.1431
3.808,0.39153,-10.32,0.0228,-6794.2413
3.828,0.34976,-60.527,0.0195,-39846.3085
3.848,0.30829,-109.94,0.0161,-72376.0054
3.868,0.26728,-158.09,0.0128,-104078.0023
3.888,0.22596,-207.66,0.0095,-136711.2994
3.908,0.18396,-258.31,0.0061,-170052.7966
3.928,0.14171,-307.78,0.0027,-202619.0013
3.948,0.099717,-356.71,-0.0007,-234834.3283
3.968,0.057903,-404.66,-0.0041,-266396.1649
3.988,0.016212,-451.07,-0.0075,-296952.0092
3.996,-0.00034052,-469.44,-0.0088,-309044.5399
3.997,-0.0024006,-471.73,-0.009,-310554.266
